Prompt,Hindi Translation,Code-Mixed (Hinglish),Intent,Context,Tags,Tamil Translation,Bengali Translation,Marathi Translation,Urdu Translation,Telugu Translation,valid_prompt,Symptom,Sentiment,Language
How does chronic stress affect the menstrual cycle and what coping strategies can help?,क्रोनिक तनाव मासिक धर्म चक्र को कैसे प्रभावित करता है और क्या नकल की रणनीति मदद कर सकती है?,How does chronic stress affect the menstrual cycle and what coping strategies can help ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress",நாள்பட்ட மன அழுத்தம் மாதவிடாய் சுழற்சியை எவ்வாறு பாதிக்கிறது மற்றும் சமாளிக்கும் உத்திகள் என்ன உதவும்?,দীর্ঘস্থায়ী স্ট্রেস কীভাবে মাসিক চক্রকে প্রভাবিত করে এবং কোন মোকাবিলার কৌশলগুলি সহায়তা করতে পারে?,तीव्र तणाव मासिक पाळीवर कसा परिणाम करते आणि कोणत्या सामोरे जाण्याची रणनीती मदत करू शकते?,دائمی تناؤ ماہواری کو کس طرح متاثر کرتا ہے اور مقابلہ کرنے کی کیا حکمت عملی مدد کر سکتی ہے؟,దీర్ఘకాలిక ఒత్తిడి stru తు చక్రాన్ని ఎలా ప్రభావితం చేస్తుంది మరియు ఏ కోపింగ్ వ్యూహాలు సహాయపడతాయి?,TRUE,headache,neutral,Bengali
What are common emotional symptoms of PMS and how can women cope with them?,पीएमएस के सामान्य भावनात्मक लक्षण क्या हैं और महिलाएं उनके साथ कैसे सामना कर सकती हैं?,What are common emotional symptoms of PMS and how can women cope with them ka kya solution hai?,mental_wellness,self-care,"coping, remedy, self-help","பி.எம்.எஸ்ஸின் பொதுவான உணர்ச்சி அறிகுறிகள் யாவை, பெண்கள் அவற்றை எவ்வாறு சமாளிக்க முடியும்?",পিএমএসের সাধারণ সংবেদনশীল লক্ষণগুলি কী কী এবং মহিলারা কীভাবে তাদের সাথে মোকাবিলা করতে পারেন?,पीएमएसची सामान्य भावनिक लक्षणे कोणती आहेत आणि स्त्रिया त्यांचा सामना कसा करू शकतात?,پی ایم ایس کی عام جذباتی علامات کیا ہیں اور خواتین ان کا مقابلہ کیسے کرسکتی ہیں؟,PMS యొక్క సాధారణ భావోద్వేగ లక్షణాలు ఏమిటి మరియు మహిళలు వాటిని ఎలా ఎదుర్కోగలరు?,TRUE,stress,positive,Bengali
What is PMDD and how does it differ from PMS in terms of symptoms and treatment?,PMDD क्या है और यह लक्षणों और उपचार के मामले में PMS से कैसे भिन्न होता है?,What is PMDD and how does it differ from PMS in terms of symptoms and treatment ka kya solution hai?,diet_advice,general,general,"பி.எம்.டி.டி என்றால் என்ன, அறிகுறிகள் மற்றும் சிகிச்சையின் அடிப்படையில் இது பி.எம்.எஸ்ஸிலிருந்து எவ்வாறு வேறுபடுகிறது?",পিএমডিডি কী এবং লক্ষণ এবং চিকিত্সার ক্ষেত্রে এটি কীভাবে পিএমএস থেকে পৃথক হয়?,पीएमडीडी म्हणजे काय आणि लक्षणे आणि उपचारांच्या बाबतीत हे पीएमएसपेक्षा कसे वेगळे आहे?,پی ایم ڈی ڈی کیا ہے اور علامات اور علاج کے لحاظ سے یہ پی ایم ایس سے کیسے مختلف ہے؟,PMDD అంటే ఏమిటి మరియు లక్షణాలు మరియు చికిత్స పరంగా ఇది PMS నుండి ఎలా భిన్నంగా ఉంటుంది?,TRUE,stress,negative,Hinglish
How can teenage girls cope with anxiety and mood swings related to their menstrual cycle?,किशोर लड़कियां अपने मासिक धर्म से संबंधित चिंता और मूड झूलों का सामना कैसे कर सकती हैं?,How can teenage girls cope with anxiety and mood swings related to their menstrual cycle ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress",டீனேஜ் பெண்கள் தங்கள் மாதவிடாய் சுழற்சியுடன் தொடர்புடைய கவலை மற்றும் மனநிலை மாற்றங்களை எவ்வாறு சமாளிக்க முடியும்?,কিশোরী মেয়েরা কীভাবে তাদের stru তুস্রাবের সাথে সম্পর্কিত উদ্বেগ এবং মেজাজের দোলগুলি মোকাবেলা করতে পারে?,किशोरवयीन मुली त्यांच्या मासिक पाळीशी संबंधित चिंता आणि मूड स्विंग्सचा सामना कसा करू शकतात?,نوعمر نوعمر لڑکیاں اپنے ماہواری سے متعلق پریشانی اور موڈ کے جھولوں کا مقابلہ کیسے کرسکتی ہیں؟,టీనేజ్ అమ్మాయిలు వారి stru తు చక్రానికి సంబంధించిన ఆందోళన మరియు మానసిక స్థితిని ఎలా ఎదుర్కోగలరు?,TRUE,stress,negative,Telugu
"What lifestyle habits (diet, exercise, sleep) support menstrual health and improve mental well-being?","क्या जीवनशैली की आदतें (आहार, व्यायाम, नींद) मासिक धर्म स्वास्थ्य का समर्थन करती हैं और मानसिक कल्याण में सुधार करती हैं?","What lifestyle habits (diet, exercise, sleep) support menstrual health and improve mental well-being ka kya solution hai?",mental_wellness,self-care,"coping, remedy, self-help","என்ன வாழ்க்கை முறை பழக்கம் (உணவு, உடற்பயிற்சி, தூக்கம்) மாதவிடாய் ஆரோக்கியத்தை ஆதரிக்கிறது மற்றும் மன நலனை மேம்படுத்துகிறது?","কোন জীবনযাত্রার অভ্যাস (ডায়েট, অনুশীলন, ঘুম) মাসিক স্বাস্থ্যকে সমর্থন করে এবং মানসিক সুস্থতার উন্নতি করে?","जीवनशैलीच्या सवयी (आहार, व्यायाम, झोप) मासिक पाळीच्या आरोग्यास कोणत्या गोष्टीस समर्थन देतात आणि मानसिक कल्याण सुधारतात?",طرز زندگی کی عادات (غذا ، ورزش ، نیند) ماہواری کی صحت کی تائید کرتی ہیں اور ذہنی تندرستی کو بہتر بناتی ہیں؟,"ఏ జీవనశైలి అలవాట్లు (ఆహారం, వ్యాయామం, నిద్ర) stru తు ఆరోగ్యానికి మద్దతు ఇస్తాయి మరియు మానసిక శ్రేయస్సును మెరుగుపరుస్తాయి?",TRUE,anxiety,positive,Bengali
What coping mechanisms can help alleviate stress-related menstrual irregularities?,क्या मैथुन तंत्र तनाव से संबंधित मासिक धर्म की अनियमितताओं को कम करने में मदद कर सकता है?,What coping mechanisms can help alleviate stress-related menstrual irregularities ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",மன அழுத்தம் தொடர்பான மாதவிடாய் முறைகேடுகளைத் தணிக்க என்ன சமாளிக்கும் வழிமுறைகள் உதவும்?,কোন মোকাবিলার ব্যবস্থাগুলি স্ট্রেস-সম্পর্কিত stru তুস্রাবকে হ্রাস করতে সহায়তা করতে পারে?,तणाव-संबंधित मासिक पाळी कमी करण्यास कोणत्या गोष्टींचा सामना करण्याची यंत्रणा मदत करू शकते?,کون سے مقابلہ کرنے والے میکانزم تناؤ سے متعلق ماہواری کی بے قاعدگیوں کو دور کرنے میں مدد کرسکتے ہیں؟,ఒత్తిడి-సంబంధిత stru తు అవకతవకలను తగ్గించడానికి ఏ కోపింగ్ మెకానిజమ్స్ సహాయపడతాయి?,TRUE,stress,neutral,Urdu
What self-care techniques can reduce menstrual cramps and improve mood?,क्या स्व-देखभाल तकनीक मासिक धर्म की ऐंठन को कम कर सकती है और मूड में सुधार कर सकती है?,What self-care techniques can reduce menstrual cramps and improve mood ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",என்ன சுய பாதுகாப்பு நுட்பங்கள் மாதவிடாய் பிடிப்புகளைக் குறைத்து மனநிலையை மேம்படுத்தலாம்?,কোন স্ব-যত্ন কৌশলগুলি stru তুস্রাবের বাধা হ্রাস করতে এবং মেজাজ উন্নত করতে পারে?,कोणती स्वयं-काळजी तंत्र मासिक पाळीची पेटके कमी करू शकते आणि मूड सुधारू शकते?,خود کی دیکھ بھال کی کون سی تکنیک ماہواری کے درد کو کم کرسکتی ہے اور موڈ کو بہتر بناسکتی ہے؟,ఏ స్వీయ-సంరక్షణ పద్ధతులు stru తు తిమ్మిరిని తగ్గిస్తాయి మరియు మానసిక స్థితిని మెరుగుపరుస్తాయి?,TRUE,fatigue,positive,Marathi
"How does PCOS affect mental health, and what support strategies can women use?","पीसीओएस मानसिक स्वास्थ्य को कैसे प्रभावित करता है, और महिलाएं क्या समर्थन रणनीतियों का उपयोग कर सकती हैं?","How does PCOS affect mental health, and what support strategies can women use ka kya solution hai?",mental_wellness,PCOS awareness,"PCOS, hormones","பி.சி.ஓ.எஸ் மன ஆரோக்கியத்தை எவ்வாறு பாதிக்கிறது, பெண்கள் என்ன ஆதரவு உத்திகளைப் பயன்படுத்தலாம்?",পিসিওএস কীভাবে মানসিক স্বাস্থ্যের উপর প্রভাব ফেলে এবং মহিলারা কোন সমর্থন কৌশল ব্যবহার করতে পারে?,पीसीओएस मानसिक आरोग्यावर कसा परिणाम करते आणि स्त्रिया कोणत्या समर्थनाची रणनीती वापरू शकतात?,پی سی او ایس ذہنی صحت کو کس طرح متاثر کرتا ہے ، اور خواتین کیا معاون حکمت عملی استعمال کرسکتی ہیں؟,PCOS మానసిక ఆరోగ్యాన్ని ఎలా ప్రభావితం చేస్తుంది మరియు మహిళలు ఏ సహాయక వ్యూహాలను ఉపయోగించగలరు?,TRUE,anxiety,neutral,Bengali
What mental health resources are helpful for women with severe PMS or menstrual mood disorders?,गंभीर पीएमएस या मासिक धर्म के मूड विकारों वाली महिलाओं के लिए कौन से मानसिक स्वास्थ्य संसाधन सहायक हैं?,What mental health resources are helpful for women with severe PMS or menstrual mood disorders ka kya solution hai?,mental_wellness,general,general,கடுமையான பி.எம்.எஸ் அல்லது மாதவிடாய் மனநிலை கோளாறுகள் உள்ள பெண்களுக்கு என்ன மனநல வளங்கள் உதவியாக இருக்கும்?,গুরুতর পিএমএস বা stru তুস্রাবের মেজাজের ব্যাধিযুক্ত মহিলাদের জন্য কোন মানসিক স্বাস্থ্য সংস্থান সহায়ক?,गंभीर पीएमएस किंवा मासिक पाळीच्या विकार असलेल्या महिलांसाठी कोणती मानसिक आरोग्य संसाधने उपयुक्त आहेत?,شدید پی ایم ایس یا ماہواری کے موڈ کی خرابی کی شکایت والی خواتین کے لئے کون سے ذہنی صحت کے وسائل مددگار ہیں؟,తీవ్రమైన PMS లేదా stru తు మూడ్ డిజార్డర్స్ ఉన్న మహిళలకు ఏ మానసిక ఆరోగ్య వనరులు సహాయపడతాయి?,TRUE,stress,positive,Telugu
How can menstrual health education improve mental wellness in adolescent girls?,मासिक धर्म स्वास्थ्य शिक्षा किशोर लड़कियों में मानसिक कल्याण में कैसे सुधार कर सकती है?,How can menstrual health education improve mental wellness in adolescent girls ka kya solution hai?,mental_wellness,general,general,மாதவிடாய் சுகாதார கல்வி இளம் பருவ சிறுமிகளில் மன ஆரோக்கியத்தை எவ்வாறு மேம்படுத்த முடியும்?,কীভাবে মাসিক স্বাস্থ্য শিক্ষা কিশোর -কিশোরীদের মধ্যে মানসিক সুস্থতার উন্নতি করতে পারে?,पौगंडावस्थेतील मुलींमध्ये मासिक पाळीचे आरोग्य शिक्षण कसे मानसिक निरोगीपणा सुधारू शकते?,ماہواری صحت کی تعلیم نوعمر لڑکیوں میں ذہنی تندرستی کو کس طرح بہتر بنا سکتی ہے؟,కౌమారదశలో ఉన్న అమ్మాయిలలో stru తు ఆరోగ్య విద్య మానసిక ఆరోగ్యాన్ని ఎలా మెరుగుపరుస్తుంది?,TRUE,cramps,negative,English
